"","super_opeid","name","par_income_bin","par_income_lab","attend","stderr_attend","attend_level","attend_sat","stderr_attend_sat","attend_level_sat","rel_apply","stderr_rel_apply","rel_attend","stderr_rel_attend","rel_att_cond_app","rel_apply_sat","stderr_rel_apply_sat","rel_attend_sat","stderr_rel_attend_sat","rel_att_cond_app_sat","attend_instate","stderr_attend_instate","attend_level_instate","attend_instate_sat","stderr_attend_instate_sat","attend_level_instate_sat","attend_oostate","stderr_attend_oostate","attend_level_oostate","attend_oostate_sat","stderr_attend_oostate_sat","attend_level_oostate_sat","rel_apply_instate","stderr_rel_apply_instate","rel_attend_instate","stderr_rel_attend_instate","rel_att_cond_app_instate","rel_apply_oostate","stderr_rel_apply_oostate","rel_attend_oostate","stderr_rel_attend_oostate","rel_att_cond_app_oostate","rel_apply_instate_sat","stderr_rel_apply_instate_sat","rel_attend_instate_sat","stderr_rel_attend_instate_sat","rel_att_cond_app_instate_sat","rel_apply_oostate_sat","stderr_rel_apply_oostate_sat","rel_attend_oostate_sat","stderr_rel_attend_oostate_sat","rel_att_cond_app_oostate_sat","attend_unwgt","stderr_attend_unwgt","attend_unwgt_level","attend_unwgt_instate","stderr_attend_unwgt_instate","attend_unwgt_oostate","stderr_attend_unwgt_oostate","attend_unwgt_level_instate","attend_unwgt_level_oostate","rel_attend_unwgt","rel_apply_unwgt","stderr_rel_attend_unwgt","stderr_rel_apply_unwgt","rel_att_cond_app_unwgt","rel_attend_unwgt_instate","rel_attend_unwgt_oostate","stderr_rel_attend_unwgt_instate","stderr_rel_attend_unwgt_oostate","rel_apply_unwgt_instate","rel_apply_unwgt_oostate","stderr_rel_apply_unwgt_instate","stderr_rel_apply_unwgt_oostate","rel_att_cond_app_unwgt_instate","rel_att_cond_app_unwgt_oostate","public","flagship","tier","test_band_tier"
"920",2627,"Princeton University",97.5,"97-98",0.01603812,0.0014081806,0.014920946,0.012026661,0.0015759048,0.0091392286,1.0637116,0.02100379,1.0748729,0.094376087,1.0104927,1.1122439,0.037895452,1.3159384,0.17243302,1.1831383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018052869,0.00012278884,0.00048667673,NA,NA,NA,NA,NA,NA,3.7094169,3.011075,0.25230062,0.047519896,1.2319244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Ivy Plus","Ivy Plus"
"921",2627,"Princeton University",98.5,"98-99",0.016708748,0.0013405309,0.014920946,0.013074183,0.0015733999,0.0091392286,1.0817525,0.020033443,1.1198183,0.089842223,1.035189,1.1642596,0.03625112,1.4305565,0.17215894,1.2287265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0022195377,0.00013553203,0.00048667673,NA,NA,NA,NA,NA,NA,4.5605998,3.3890088,0.2784847,0.05028921,1.3457031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Ivy Plus","Ivy Plus"
"922",2627,"Princeton University",99.400002,"99-99.9",0.019735184,0.0014048072,0.014920946,NA,NA,0.0091392286,1.1562322,0.020559831,1.3226496,0.094150007,1.1439308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0034676325,0.0001779209,0.00048667673,NA,NA,NA,NA,NA,NA,7.1251249,4.0048189,0.36558333,0.057627402,1.7791378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Ivy Plus","Ivy Plus"
"923",2627,"Princeton University",99.5,"Top 1",0.021002423,0.001332846,0.014920946,0.017120631,0.0015965005,0.0091392286,1.1495104,0.019060852,1.4075798,0.089327179,1.2245038,1.1621406,0.032273371,1.8733125,0.17468657,1.6119499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0038100085,0.00017697824,0.00048667673,NA,NA,NA,NA,NA,NA,7.8286228,4.1288786,0.36364639,0.055582315,1.8960651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Ivy Plus","Ivy Plus"
"924",2627,"Princeton University",100,"Top 0.1",0.028985394,0.0041053528,0.014920946,NA,NA,0.0091392286,1.0991962,0.05101515,1.9425976,0.27514026,1.7672893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0068576043,0.00075928494,0.00048667673,NA,NA,NA,NA,NA,NA,14.090676,5.2666416,1.5601423,0.2003801,2.6754575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"Ivy Plus","Ivy Plus"
"925",1825,"Purdue University",10,"0-20",0.0025183903,0.00014840963,0.0043369178,0.0021738075,0.00027499901,0.0036655676,0.64544672,0.017271025,0.58068669,0.03422007,0.89966637,0.7067678,0.034889832,0.59303433,0.075022221,0.83907944,0.0939309,0.007565422,0.12721743,0.094388179,0.012033318,0.12522978,0.00082815654,9.3704475e-05,0.00160344,0.00073844916,0.00015034343,0.0010568653,0.77088958,0.03813884,0.73834932,0.059468441,0.95778871,0.65661353,0.024161421,0.51648736,0.05843965,0.7865926,0.78591782,0.049614225,0.75371993,0.096089914,0.95903146,0.65478253,0.047279906,0.6987164,0.1422541,1.0670968,0.00079440762,3.5001569e-05,0.0024886248,0.033012934,0.0016548806,0.00021194329,1.8199429e-05,0.072269663,0.00082592614,0.31921551,0.37974548,0.014064623,0.0067365426,0.84060383,0.4568021,0.2566129,0.022898689,0.022035178,0.57507968,0.32053027,0.012735523,0.0084786145,0.79432839,0.80058867,TRUE,FALSE,"Selective public","Other Top 100 Public"
"926",1825,"Purdue University",30,"20-40",0.0028307003,0.00012566743,0.0043369178,0.002546188,0.00023274928,0.0036655676,0.70265746,0.014004577,0.65269864,0.028976208,0.92890018,0.74961084,0.028784351,0.69462311,0.063496113,0.92664498,0.11310323,0.0077966899,0.12721743,0.11165288,0.010094876,0.12522978,0.00072813267,7.2502393e-05,0.00160344,0.00073680148,0.00011873551,0.0010568653,0.89887404,0.030508094,0.88905454,0.061286334,0.98907578,0.65178251,0.018669188,0.45410657,0.04521678,0.69671488,0.83483762,0.03934082,0.89158416,0.080610834,1.0679731,0.71929961,0.039074589,0.69715738,0.11234687,0.96921694,0.00097396824,3.2765864e-05,0.0024886248,0.038574848,0.0014270887,0.00019693341,1.4909646e-05,0.072269663,0.00082592614,0.39136806,0.46567738,0.013166253,0.0063281842,0.84042746,0.53376269,0.2384395,0.019746719,0.018052032,0.66867381,0.36019415,0.010813124,0.0076342248,0.79824078,0.66197497,TRUE,FALSE,"Selective public","Other Top 100 Public"
"927",1825,"Purdue University",50,"40-60",0.0033824192,0.00010032285,0.0043369178,0.0022218789,0.00016071644,0.0036655676,0.77479953,0.010514889,0.77991319,0.023132293,1.0066,0.75732589,0.021648247,0.60614866,0.043844901,0.80038023,0.10916837,0.0041077486,0.12721743,0.087272786,0.0062248223,0.12522978,0.00080480846,5.3945812e-05,0.00160344,0.00048031038,7.4213807e-05,0.0010568653,0.84682441,0.015497336,0.85812438,0.032289196,1.0133439,0.6628989,0.013385084,0.50192612,0.033643797,0.75716841,0.788311,0.026336018,0.69690126,0.049707204,0.88404357,0.69408351,0.028500877,0.45446697,0.070220686,0.65477276,0.0015070528,3.5750443e-05,0.0024886248,0.049936879,0.0012764002,0.00027993351,1.5618025e-05,0.072269663,0.00082592614,0.60557657,0.64259958,0.014365542,0.0065118293,0.94238555,0.69097984,0.33893284,0.017661631,0.018909711,0.76038748,0.49183455,0.0090002595,0.0078363884,0.90872067,0.68911964,TRUE,FALSE,"Selective public","Other Top 100 Public"
"928",1825,"Purdue University",65,"60-70",0.0039971303,0.0001206443,0.0043369178,0.0025045155,0.00019312935,0.0036655676,0.87629181,0.012171828,0.92165232,0.027817981,1.0517641,0.8221243,0.02537626,0.68325448,0.052687433,0.83108413,0.11400629,0.0043541612,0.12721743,0.090987161,0.0067385398,0.12522978,0.00090602547,6.2357343e-05,0.00160344,0.00048343497,8.2536026e-05,0.0010568653,0.90119839,0.016037242,0.89615309,0.034226138,0.99440157,0.69468635,0.014727838,0.56505102,0.038889725,0.81339014,0.80760419,0.027950292,0.72656173,0.053809404,0.89965075,0.70169735,0.032292526,0.45742345,0.078095123,0.6518814,0.0020681082,5.304355e-05,0.0024886248,0.057891615,0.0016007058,0.00039600575,2.3498442e-05,0.072269663,0.00082592614,0.83102453,0.84590566,0.021314403,0.0094686262,0.98240805,0.80105001,0.47946873,0.022149069,0.028451022,0.85342157,0.64767569,0.010984587,0.011440934,0.93863344,0.74029136,TRUE,FALSE,"Selective public","Other Top 100 Public"
"929",1825,"Purdue University",75,"70-80",0.0046121692,0.00010583767,0.0043369178,0.0036493377,0.00020396421,0.0036655676,1.0029125,0.01081136,1.063467,0.024403891,1.0603787,0.98327619,0.02428717,0.99557233,0.055643283,1.0125053,0.12977071,0.003671672,0.12721743,0.13539732,0.0070579806,0.12522978,0.0011126009,5.5447039e-05,0.00160344,0.00069204974,8.5620064e-05,0.0010568653,0.9835701,0.013313661,1.0200702,0.028861392,1.0371099,0.84025294,0.013387816,0.69388372,0.034580052,0.8258034,1.0032279,0.025934871,1.0811911,0.056360245,1.0777123,0.80799234,0.030341521,0.65481353,0.081013218,0.81042045,0.0027988818,5.7045898e-05,0.0024886248,0.07647571,0.001679628,0.00057885866,2.6374455e-05,0.072269663,0.00082592614,1.1246701,1.0700614,0.022922659,0.0098907948,1.0510333,1.0581993,0.70086008,0.023241121,0.031933188,1.0163832,0.88685435,0.010821144,0.012472793,1.0411421,0.79027641,TRUE,FALSE,"Selective public","Other Top 100 Public"
